day,value
01-01-2020,28310.86
02-01-2020,28311.77
03-01-2020,28312.68
04-01-2020,28313.6
05-01-2020,28314.51
06-01-2020,28315.42
07-01-2020,28316.33
08-01-2020,28317.25
09-01-2020,28318.16
10-01-2020,28319.07
11-01-2020,28319.99
12-01-2020,28320.9
13-01-2020,28321.81
14-01-2020,28322.73
15-01-2020,28323.64
16-01-2020,28324.55
17-01-2020,28325.47
18-01-2020,28326.38
19-01-2020,28327.29
20-01-2020,28328.21
21-01-2020,28329.12
22-01-2020,28330.03
23-01-2020,28330.95
24-01-2020,28331.86
25-01-2020,28332.77
26-01-2020,28333.69
27-01-2020,28334.6
28-01-2020,28335.51
29-01-2020,28336.43
30-01-2020,28337.34
31-01-2020,28338.25
01-02-2020,28339.17
02-02-2020,28340.08
03-02-2020,28341
04-02-2020,28341.91
05-02-2020,28342.82
06-02-2020,28343.74
07-02-2020,28344.65
08-02-2020,28345.56
09-02-2020,28346.48
10-02-2020,28352.33
11-02-2020,28358.18
12-02-2020,28364.03
13-02-2020,28369.88
14-02-2020,28375.73
15-02-2020,28381.59
16-02-2020,28387.44
17-02-2020,28393.3
18-02-2020,28399.15
19-02-2020,28405.01
20-02-2020,28410.87
21-02-2020,28416.73
22-02-2020,28422.6
23-02-2020,28428.46
24-02-2020,28434.32
25-02-2020,28440.19
26-02-2020,28446.06
27-02-2020,28451.93
28-02-2020,28457.8
29-02-2020,28463.67
01-03-2020,28469.54
02-03-2020,28475.41
03-03-2020,28481.29
04-03-2020,28487.16
05-03-2020,28493.04
06-03-2020,28498.92
07-03-2020,28504.8
08-03-2020,28510.68
09-03-2020,28516.56
10-03-2020,28520.23
11-03-2020,28523.91
12-03-2020,28527.58
13-03-2020,28531.25
14-03-2020,28534.93
15-03-2020,28538.6
16-03-2020,28542.28
17-03-2020,28545.95
18-03-2020,28549.63
19-03-2020,28553.31
20-03-2020,28556.98
21-03-2020,28560.66
22-03-2020,28564.34
23-03-2020,28568.02
24-03-2020,28571.7
25-03-2020,28575.38
26-03-2020,28579.06
27-03-2020,28582.74
28-03-2020,28586.42
29-03-2020,28590.1
30-03-2020,28593.78
31-03-2020,28597.46
01-04-2020,28601.15
02-04-2020,28604.83
03-04-2020,28608.51
04-04-2020,28612.2
05-04-2020,28615.88
06-04-2020,28619.57
07-04-2020,28623.25
08-04-2020,28626.94
09-04-2020,28630.63
10-04-2020,28633.49
11-04-2020,28636.35
12-04-2020,28639.21
13-04-2020,28642.07
14-04-2020,28644.93
15-04-2020,28647.79
16-04-2020,28650.65
17-04-2020,28653.51
18-04-2020,28656.37
19-04-2020,28659.23
20-04-2020,28662.09
21-04-2020,28664.96
22-04-2020,28667.82
23-04-2020,28670.68
24-04-2020,28673.54
25-04-2020,28676.41
26-04-2020,28679.27
27-04-2020,28682.13
28-04-2020,28685
29-04-2020,28687.86
30-04-2020,28690.73
01-05-2020,28693.59
02-05-2020,28696.46
03-05-2020,28699.32
04-05-2020,28702.19
05-05-2020,28705.05
06-05-2020,28707.92
07-05-2020,28710.79
08-05-2020,28713.65
09-05-2020,28716.52
10-05-2020,28716.52
11-05-2020,28716.52
12-05-2020,28716.52
13-05-2020,28716.52
14-05-2020,28716.52
15-05-2020,28716.52
16-05-2020,28716.52
17-05-2020,28716.52
18-05-2020,28716.52
19-05-2020,28716.52
20-05-2020,28716.52
21-05-2020,28716.52
22-05-2020,28716.52
23-05-2020,28716.52
24-05-2020,28716.52
25-05-2020,28716.52
26-05-2020,28716.52
27-05-2020,28716.52
28-05-2020,28716.52
29-05-2020,28716.52
30-05-2020,28716.52
31-05-2020,28716.52
01-06-2020,28716.52
02-06-2020,28716.52
03-06-2020,28716.52
04-06-2020,28716.52
05-06-2020,28716.52
06-06-2020,28716.52
07-06-2020,28716.52
08-06-2020,28716.52
